window_id,test_start,test_end,avg_return,win_rate,avg_ic
1,2025-03-21,2025-05-07,0.0036988708840081912,0.5333333333333333,0.083247623025597
2,2025-05-08,2025-06-19,-0.0003836732993400906,0.4666666666666667,0.016969530999083625
3,2025-06-20,2025-07-31,0.016507860392572446,0.7666666666666667,-0.011189506467321812
4,2025-08-01,2025-09-11,0.0073115351218246945,0.7,-0.005083798521081743
5,2025-09-12,2025-10-31,-0.01230642095666861,0.5,-0.0040652786328400905
6,2025-11-03,2025-12-12,-0.016847152356277262,0.3,-0.010077371635936184
7,2025-12-15,2026-01-27,0.012831118575999192,0.7333333333333333,0.0382042820994183
